"Informazioni cronologiche","What is your gender?","How old are you?","Where are you from?","Which ethnic group do you identify with?","What is your religion?","Have you ever experienced any form of racism?","Do you consider yourself a feminist?","What do you think about gender inequality?","Do you think that the veil that most Muslim women wear is a symbol of submission?","Do you think that the veil that Catholic nuns wear is a symbol of submission?","Could you briefly explain your answer to the previous two questions? ","Some modern feminist movements use nudity to protest against patriarchy and to show the independence of women.  What is your opinion about it?","Do you think that feminism has ever been used or could be used by Western powers as a justification for their nationalistic, imperialistic and economic purposes?","Are you familiar with the terms ""White feminism"" and ""Transnational feminism""?","Do you feel represented by today's feminism? "
"2020/05/24 9:26:45 PM EET","Male","18-29","Italy","White","Christian (Protestant)","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","No","","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/24 9:28:02 PM EET","Female","18-29","Romania","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","They must cover themselves because of their religion, so submission to their God","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/24 9:47:40 PM EET","Female","30-49","Latvia","White","Lutheran","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","It depends","-","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 9:51:46 PM EET","Male","18-29","Italy","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","For muslim women it could depend wether or not they have been forced to wear the veil; as regards catholic nuns they choose to wear the veil when they decide to become nuns, so i think of it as a choice and not as an oppression.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/24 9:52:50 PM EET","Male","18-29","Puerto Rico","Latino","Roman Catholic","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","Muslim head coverings are, at times, required by women who are living their every day lives. Catholic headdresses are actually optional symbols of initiation by women who are in voluntary religious orders, not lay women. Some nuns don’t even have to wear such garments.","For me, it’s more of a matter of consent. Other people do not consent to seeing you naked, which makes you a harasser if you’re just exposing yourself to make a point. Nudity can be nonsexual,  but we can’t act like everyone has the same beliefs on the matter.","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 9:55:28 PM EET","Female","30-49","Georgia","White","Christian orthodox ","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No","No"
"2020/05/24 10:13:32 PM EET","Female","18-29","United States","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are","No"
"2020/05/24 10:18:55 PM EET","Male","18-29","Sweden","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","No"
"2020/05/24 10:22:53 PM EET","Male","18-29","Brazil","Black","Christian (Protestant)","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 10:24:37 PM EET","Female","18-29","Georgia","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 10:30:19 PM EET","Female","18-29","Georgia","White","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","Many women say that they do it because they want to and not because they have to. But i still see it as a way for religion and men to supress women, make them fell less then others. Put them in boxes and interfere with their total freedom. The fact that i don’t believe in god and that I’m so sceptical of all religions makes it even harder for me to make a connection between a veil and faith. What does one have to do with the other. ","I think that it's their right to use their body to protest, and I believe that they are right when they say that women that cover themselves for religious reasons can't be feminists","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 10:31:29 PM EET","Male","18-29","United States","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","It's no secret that it is. Submission to god by giving up your choice in what to wear and choosing how to present yourself. Seeing as God is made up, it's pretty much just submission to men in my opinion.","I wish I could pick the 2nd AND 3rd answer choice. Of course it's their right, but I'm not sure it is as effective as they hope.","I don't know","No",""
"2020/05/24 10:32:25 PM EET","Female","18-29","United States","White","Spiritually focused, do not practice organized religion ","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","In both religions, it can be both a complete choice or done by force. Women who wear either are thought to have made that choice, but some have been forced. A veil worn by Muslim
women, especially, is a choice by that woman. ","I believe it is their right, but it shows how much privilege they have. ","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 10:42:28 PM EET","Male","18-29","Colombia","Latino","Not religious","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/24 10:51:27 PM EET","Male","30-49","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","Abrahamic religions are built upon an overtly patriarchal foundation. Regardless of the reason that individual women choose to wear such religious garments, these garments are still symbolic of the masculine religious controls placed upon women by their respective religious practices. ","I believe it is their right to protest in the way that they see fit, so long as their protest does not infringe upon the rights of others. However, I do not feel that it is a productive form of protest in most cases. ","No, I don't see how this could happen","Yes, I know exactly what they are",""
"2020/05/24 10:53:26 PM EET","Female","18-29","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","The choice to privatize woman’s sexuality (by not allowing the hair to be visible) (a choice consensually made without coercion) is the other side of the coin of liberating woman’s sexuality. We cannot support one side without supporting the other, or our feminism is not truly intersectional. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 11:12:37 PM EET","Male","18-29","Italy","White","Roman Catholic","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","No"
"2020/05/24 11:13:15 PM EET","Female","18-29","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","It depends","The meaning and symbolism of the veil is defined by the person wearing it. As a person who does not participate in either culture, I do not have a say in what those items stand for.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 11:13:22 PM EET","Female","18-29","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I think if women are being commanded or required to wear veils or coverings that it's like a forced kind of submission. Women who choose to wear veils due to their own beliefs may be doing it as a symbol of reverence/honor versus submission. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Yes, completely"
"2020/05/24 11:15:27 PM EET","Male","18-29","Georgia","White","Prefer not to say","No","I don't know","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/24 11:17:01 PM EET","Female","18-29","Georgia","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/24 11:33:10 PM EET","Female","18-29","United States","White","Christian (Protestant)","No","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 11:40:40 PM EET","Female","18-29","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/24 11:57:32 PM EET","Female","18-29","Georgia","White","Christian (Protestant)","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No","Yes, completely"
"2020/05/24 11:58:55 PM EET","Female","18-29","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","There are many reasons why people choose to wear veils so I don't believe that people choosing to display modesty in that way are being submissive.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 11:59:49 PM EET","Male","18-29","United States","White","Mormon","I don't know","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","I think if a woman is forced to wear it it is submissive but if a woman makes an informed decision (without negative outside influences) it is not submissive. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","Yes, I know exactly what they are",""
"2020/05/25 12:18:16 AM EET","Female","18-29","Canada","Persian","Muslim","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","It’s a choice that they have made, being a Muslim myself I know the women have made that decision to wear them, whereas I have decided to not wear it. If you ask any Muslim woman why do you wear the hijab, they will tell you because they want to.","I believe that you can choose to portray your body how you seem fit. After all it belongs to you and only you, if you choose to cover it or be nude, it can both be seen as a sign of feminism. Look at Billie eilish for example, she is not Muslim but she chooses to wear loose and modest clothes as a sign of feminism. ","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 12:22:42 AM EET","Female","18-29","Georgia","White","Christian (Protestant)","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/25 12:37:14 AM EET","Male","18-29","France","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/25 12:42:15 AM EET","Female","18-29","France","White","Prefer not to say","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 12:48:47 AM EET","Female","18-29","Ecuador","Latino","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","What I think is that when something is imposed to you is not correct. Because of their beliefs, religion has requirements that I do not agree with like the veil. But if a women decide to use it is ok if she knows why and also if she is aware of her rights. Th thing is that religion how it works is based on patriarchy, so in most cases it is a symbol of submission. Since I am not religious I think is wrong, but if women would have the right to decide it will depend on each one of them. Is hard to tell, that is why my answer. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 12:49:52 AM EET","Female","18-29","Italy","White","Roman Catholic","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are","No"
"2020/05/25 12:56:04 AM EET","Female","18-29","Germany","Mixed - black/white","Christian (Protestant)","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","I don't know","I believe some muslim women wear a veil as a sign of submission and some wear one simply because it’s their conviction","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No","Partially"
"2020/05/25 1:00:01 AM EET","Male","18-29","Italy","White","Roman Catholic","Yes","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/25 1:03:01 AM EET","Male","18-29","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No",""
"2020/05/25 1:43:12 AM EET","Female","18-29","United States","Half-Arab, half-white","Episcopal","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","So as far as the Muslim veil: I wasn’t sure which veil you were referring to. I’ve seen some women wear a veil covering their nose and mouth, only showing their eyes. So when I read “veil,” I thought of that first. But then I wondered if you were referring to the hijab (hair/head covering), which I know that women wear for different reasons. As far as the face covering though, I don’t know anything about that. 

Now for the nun veil: I know next to nothing about Catholic nuns, but I’m pretty sure they’re celibate, yes? So I have a hard time thinking that anything they wear would be out of submission since they’re not submitting sexually to men. Maybe they’re submitting generally as a gender role. Like I said, I don’t know much about nuns, but the gender roles in Catholicism are pretty traditional. In short, I don’t know.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 1:47:14 AM EET","Male","50-69","United States","White","Christian (Protestant)","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No",""
"2020/05/25 1:52:49 AM EET","Male","18-29","Georgia","White","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","Muslims are obligated to wear, however Catholics do that by their own will according to their beliefs. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No",""
"2020/05/25 1:58:46 AM EET","Female","18-29","United States","White","Roman Catholic","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","No","I am not fully knowledgeable about Muslim culture to know why the women wear veils. But I’m the Catholic Church, it is the women giving all of themselves to the lord. Hair is a symbol of beauty and they do not want to be looked at in any other way than an instrument to god.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 2:47:19 AM EET","Male","18-29","United States","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","Most religious beliefs are that women modest, not to hide their sexuality. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No",""
"2020/05/25 3:09:50 AM EET","Female","18-29","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","People veil for lots of different reasons. For some it’s a symbol of empowerment and others a symbol of their religion. I don’t think that anyone would willingly do something if they knew it were a symbol of submission. But I am no scholar and grew up fairly privileged so I can’t speak on the matter with enough of an educated view to fully make any decisions. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 3:40:38 AM EET","Male","30-49","United States","White","AA","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I lived in Indonesia for 18 months. People seemed to like it.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/25 3:55:01 AM EET","Female","18-29","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","It’s a choice following their beliefs. Not “required” but more as a respect and for modesty. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 4:57:16 AM EET","Female","18-29","Canada","Asian","theist","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","Before the modern day society, religious veils were considered submission of women, but in the modern day society, it has become a part of the religion's culture. Even though it still contains symbolic meaning of female inferiority, as far as I am concerned, third-party viewers in the modern day society tend to view it as a ""culture"" of the region rather than its symbolic stance. Besides, if my put myself into the shoes of the religious females who have to wear veils, I would consider it more like part of the culture and wear it without putting too much emphasis on its symbolic meaning. However, symbol is symbol and what veils stand for definitely embeds gender inequality so I guess the way veil is seen really depends on individual's perspective.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 5:26:44 AM EET","Female","18-29","United States","White","Undecided","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","I believe the coverings are signs of submission in regards to their religion and their god.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Yes, completely"
"2020/05/25 6:16:14 AM EET","Female","18-29","United States","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I believe them to be symbols of whatever the women want. If they were them in submission to their husbands or God then that’s their symbol. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 6:31:34 AM EET","Female","18-29","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No","Partially"
"2020/05/25 7:05:47 AM EET","Male","18-29","Georgia","White","Not religious","No","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","The Muslim veil women are wearing is a symbol of submission to the men, while veil that Catholic nuns or Orthodox women(Entering the church) wear, is the symbol of submission to god.","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/25 7:26:43 AM EET","Female","50-69","United States","White","Eastern Orthodox Christian","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","If their God requires it, that is who they are submitting to.","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No","No"
"2020/05/25 7:27:30 AM EET","Female","18-29","France","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","It’s their choice","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 8:41:13 AM EET","Female","18-29","United States","Ashkenazi Jewish","Jewish","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","The hijab and a Nun’s veil are an expression of their faith","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/25 8:53:27 AM EET","Female","18-29","Thailand","Asian","Buddha","Yes","Yes","I don't know","Yes","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Yes, completely"
"2020/05/25 9:11:19 AM EET","Female","18-29","France","White","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 9:11:35 AM EET","Female","18-29","Georgia","White","Orthodox christian","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/25 9:46:31 AM EET","Male","18-29","Italy","White","Roman Catholic","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","It is a sign of submission to God as well as to men in Islam. Muslim women are brainwashed into thinking it’s empowering.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are",""
"2020/05/25 9:59:26 AM EET","Female","18-29","Georgia","White","Prefer not to say","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","Wearing a veil for muslim women is sometimes optional, however, there are cases when women are forced to do so, disregarding their own preference. However, in case of Roman catholic nuns, by wearing a veil they are manifesting their devotion to the god.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 10:33:36 AM EET","Female","18-29","Italy","White","Prefer not to say","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/25 11:31:19 AM EET","Female","18-29","Georgia","White","Prefer not to say","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/25 1:45:40 PM EET","Female","50-69","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","To some, it is simply a sacred sign of their religion.  I don’t think they attach any other meaning to wearing it.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 2:32:27 PM EET","Male","18-29","Lebanon","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
"2020/05/25 2:58:49 PM EET","Female","18-29","Italy","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 3:01:45 PM EET","Female","30-49","United States","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I would call it dedication and commitment to their faith, not submission.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","No","Partially"
"2020/05/25 4:45:15 PM EET","Male","18-29","Georgia","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","Do what ,,elite"" wants is always submission.","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are",""
"2020/05/25 4:52:03 PM EET","Female","50-69","United States","White","Christian (Protestant)","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","It depends on what country you are from","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/25 6:37:26 PM EET","Female","18-29","Georgia","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","i don't know. i never thought of such things. ","woman and anyone at that are free to show their body however they want. ","I don't know","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/25 8:19:23 PM EET","Male","18-29","Spain","White","Roman Catholic","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","Partially"
